Model,accuracy,f1_score
RandomForestClassifier,0.8212200523454801,0.7562887038794534
KNeighborsClassifier,0.8133682303201127,0.7455311982483722
DecisionTreeClassifier,0.8115562713911818,0.7401445905456872
Support Vector Machine,0.7976645862693779,0.7195006678217155
Logistic Regression Classifier ,0.794040668411516,0.7181211149146592
